295,25	16239	10906	7704	1833
351,99	46989	32763	22846	7064
609,35	91936	69422	52234	22682
768,46	9691	7573	5953	2953
934,01	5941	4722	3893	1766
1120,38	26859	21490	17707	9371
1238,16	9761	8139	6896	3607
1377,75	6558	5303	4724	2461
1460,98	512	650	673	586
1509,28	3338	2700	2436	1503
1764,58	21835	18423	15684	9806
2118,62	1457	1154	1125	646
2204,16	5995	5088	4347	2864
2447,73	1825	1477	1278	923
