295,34	16239	9089	6664	3208	956
351,94	46989	34682	26650	13827	3319
609,33	91936	81277	72750	56879	30441
768,38	9691	9090	7898	6885	4402
934,09	5941	5496	5333	4856	2998
1120,3	26859	25098	24214	21364	15404
1238,14	9761	9775	9019	7991	5860
1377,66	6558	6244	5869	5039	4091
1460,91	512	518	636	546	584
1509,25	3338	3148	3127	2926	2055
1764,55	21835	20870	20105	18391	14336
2118,5	1457	1417	1356	1244	929
2204,02	5995	5670	5504	5226	4026
2447,51	1825	1674	1607	1583	1224
