295,24	15,55	9,35	80,58	-	42,81
351,92	4,22	3,53	8,22	15,21	23,29
511,13	73,81	52,35	-	24,09	51,65
609,3	1,94	1,65	3	4,55	5,59
768,41	5,81	5,38	12,96	13,2	18,86
934,08	25,67	27,48	34,99	23,59	49,68
1120,34	2,58	2,26	3,18	4,53	4,64
1238,14	4,1	3,57	5,45	7,77	7,56
1460,99	33,15	23,06	23,74	32,96	18,57
1661,53	15,64	14,93	14,5	20,92	28,19
1764,67	2,47	2,22	2,89	3,54	3,42
2118,75	13,7	12,71	12,15	33,01	23,95
2204,31	7,13	6,87	9,72	8,81	6,56
2293,24	28,32	25,2	23,71	21,05	-
2447,96	9,09	6,23	8,51	10,96	8,36
