295.17, 295.17_err        , 351.92, 351.92_err       , 510.92, 510.92_err, 609.28, 609.28_err       , 768.34, 768.34_err, 934.07, 934.07_err        , 1120.29, 1120.29_err, 1238.14, 1238.14_err       , 1460.77, 1460.77_err       , 1661.22, 1661.22_err       , 1764.58, 1764.58_err       , 2118.67, 2118.67_err      , 2204.1, 2204.1_err        , 2293.37, 2293.37_err
46257 , 1406.2128         , 90239 , 866.2944         , 9508  , 350.8452  , 5985  , 490.1714999999999, 26136 , 308.4048  , 9947  , 271.55310000000003, 5625   , 317.25     , 609    , 157.0002          , 1604   , 161.0416          , 21438  , 235.81800000000004, 1970   , 162.91899999999998, 1203   , 66.0447          , 5763  , 130.2438          , 1656   , 127.01520000000001
39908 , 1396.78           , 83142 , 872.9910000000001, 9095  , 343.791   , 5224  , 492.1008         , 24475 , 308.385   , 9429  , 268.7265          , 5010   , 322.143    , 519    , 157.9836          , 1437   , 162.9558          , 20410  , 236.75599999999997, 2018   , 155.9914          , 1376   , 59.99360000000001, 5587  , 126.8249          , 1732   , 112.9264
39049 , 1351.0954000000002, 76977 , 869.8400999999999, 8316  , 341.7876  , 4729  , 491.816          , 24379 , 297.4238  , 9063  , 268.2648          , 5179   , 310.2221   , 509    , 156.9756          , 1465   , 159.97799999999998, 19810  , 233.75799999999998, 2056   , 150.088           , 1141   , 62.9832          , 5323  , 128.8166          , 1745   , 104.00200000000001
32497 , 1351.8752000000002, 73581 , 838.8234         , 7961  , 338.3425  , 4797  , 484.0173         , 23081 , 293.1287  , 8564  , 262.9148          , 5289   , 297.7707   , 614    , 154.97359999999998, 1610   , 151.984           , 19457  , 223.75549999999998, 1705   , 152.9385          , 1175   , 62.04            , 5458  , 116.80120000000001, 1484   , 124.0624
